имя;I_k, Па;f, Дж;k;T_p, К;ro, кг/м^3;alpha_k, м^3/кг;Z_k;k_1;lambda_1;k_2;lambda_2;k_I, 1/К;k_f, 1/К;
ДГ-2 15/1;1.3400e+06;9.3300e+05;1.2550e+00;2.3700e+03;1.5200e+03;1.1330e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.4000e-04;
УГФ-1;1.3400e+06;4.0100e+05;1.1910e+00;1.7950e+03;1.6000e+03;5.4000e-04;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;3.0000e-03;7.0000e-04;
УГ-1;1.3500e+06;3.9100e+05;1.1970e+00;1.6900e+03;1.6000e+03;5.3400e-04;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;3.0000e-03;7.0000e-04;
14/7 БП;1.3800e+06;9.0400e+05;1.2550e+00;2.3750e+03;1.6000e+03;1.0980e-03;1.5250e+00;7.3100e-01;1.7400e-01;5.4021e-01;-9.5238e-01;2.2000e-03;3.0000e-04;
ДГ-3 17/1;1.3900e+06;9.6800e+05;1.2500e+00;2.5050e+03;1.5200e+03;1.1130e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
180/57 Ш3 БП;1.4000e+06;9.4000e+05;1.2030e+00;2.6600e+03;1.6000e+03;9.0700e-04;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
НДТ-2 16/1;1.4200e+06;9.2200e+05;1.2620e+00;2.3700e+03;1.5400e+03;1.1560e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.4000e-04;
11/1 УГ;1.4300e+06;3.9900e+05;1.1930e+00;1.7650e+03;1.6000e+03;5.4000e-04;1.0000e+00;1.1000e+00;-9.0909e-02;0.0000e+00;0.0000e+00;3.0000e-03;7.0000e-04;
НДТ-3 18/1;1.4600e+06;9.6100e+05;1.2550e+00;2.5250e+03;1.5400e+03;1.1310e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
ДГ-3 18/1;1.4800e+06;9.6800e+05;1.2500e+00;2.5050e+03;1.5200e+03;1.1130e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
12/1 УГ;1.5000e+06;3.9900e+05;1.1930e+00;1.7650e+03;1.6000e+03;5.4000e-04;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;3.0000e-03;7.0000e-04;
ДГ-2 17/1;1.5200e+06;9.3300e+05;1.2550e+00;2.3700e+03;1.5200e+03;1.1330e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.4000e-04;
100/56;1.5210e+06;9.8400e+05;1.2320e+00;2.7600e+03;1.6000e+03;1.0310e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
22/7;1.5300e+06;9.8300e+05;1.2320e+00;2.7550e+03;1.6000e+03;1.0290e-03;1.5010e+00;7.4900e-01;1.5500e-01;5.3854e-01;-9.9700e-01;1.6000e-03;3.0000e-04;
18/1 тр БП;1.5300e+06;9.1100e+05;1.2530e+00;2.4100e+03;1.6000e+03;1.0910e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
НДТ-3 19/1;1.5400e+06;9.6100e+05;1.2550e+00;2.5250e+03;1.5400e+03;1.1310e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
ДГ-3 20/1;1.6400e+06;9.6800e+05;1.2500e+00;2.5050e+03;1.5200e+03;1.1130e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
НДТ-2 19/1;1.6900e+06;9.2200e+05;1.2620e+00;2.3700e+03;1.5400e+03;1.1560e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.4000e-04;
180/57;1.7300e+06;9.7000e+05;1.2370e+00;2.6700e+03;1.6000e+03;1.0430e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
152/57 БП;1.8200e+06;8.8900e+05;1.2600e+00;2.2950e+03;1.6000e+03;1.1140e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
152/57 Ш;1.8300e+06;9.9000e+05;1.2320e+00;2.7850e+03;1.6000e+03;1.0300e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
130/50;1.8400e+06;9.8300e+05;1.2330e+00;2.7500e+03;1.6000e+03;1.0340e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
НДТ-3 23/1;1.8600e+06;9.6100e+05;1.2550e+00;2.5250e+03;1.5400e+03;1.1310e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
ДГ-3 23/1;1.8900e+06;9.6800e+05;1.2500e+00;2.5050e+03;1.5200e+03;1.1130e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
НДТ-2 130/50;1.9000e+06;9.2200e+05;1.2620e+00;2.3700e+03;1.5400e+03;1.1560e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.4000e-04;
НДТ-2 152/57;1.9000e+06;9.2200e+05;1.2620e+00;2.3700e+03;1.5400e+03;1.1560e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.4000e-04;
НДТ-2 25/1;2.2000e+06;9.2200e+05;1.2620e+00;2.3700e+03;1.5400e+03;1.1560e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.4000e-04;
130/58 БП;2.3300e+06;8.9300e+05;1.2590e+00;2.3200e+03;1.6000e+03;1.1100e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
НДТ-3 152/57;2.4400e+06;9.6100e+05;1.2550e+00;2.5250e+03;1.5400e+03;1.1310e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
152/57;2.4700e+06;9.9000e+05;1.2320e+00;2.7850e+03;1.6000e+03;1.0300e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
37/1 тр;2.4800e+06;9.9400e+05;1.2280e+00;2.8250e+03;1.6000e+03;1.0190e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
180/57 БП;2.5000e+06;8.7500e+05;1.2630e+00;2.2400e+03;1.6000e+03;1.1190e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
НДТ-3 32/1;2.5900e+06;9.6100e+05;1.2550e+00;2.5250e+03;1.5400e+03;1.1310e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
180/60;2.7000e+06;9.8100e+05;1.2380e+00;2.7300e+03;1.6000e+03;1.0400e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
УГ-2;2.7100e+06;3.9100e+05;1.1970e+00;1.6950e+03;1.6000e+03;5.3400e-04;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;3.0000e-03;7.0000e-04;
